customer_number,offer_acepted,reward,mailer_type,income_level,banks_accounts_open,overdraft_protection,credit_rating,credits_cards_held,homes_owned,household_size,own_home,average_balance
1,0,0,0,2,1,0,2,2,1,4,0,1160.75
2,0,0,0,1,1,0,1,2,2,5,1,147.25
3,0,0,1,2,2,0,1,2,1,2,1,276.5
4,0,0,0,1,2,0,2,1,1,4,0,1219.0
5,0,0,0,1,1,0,1,2,1,6,1,1211.0
6,0,0,0,1,1,0,2,3,1,4,0,1114.75
7,0,0,0,1,1,0,1,2,1,3,0,283.75
8,0,1,1,0,1,0,1,4,1,4,1,278.5
9,0,0,1,1,1,0,0,2,1,4,1,1005.0
10,0,0,0,2,2,0,0,3,2,4,1,974.25
11,0,0,1,1,1,0,1,3,1,2,1,1135.25
12,0,1,1,2,1,0,1,3,2,5,1,1221.0
13,0,2,0,1,1,0,0,1,1,2,1,1150.5
14,0,2,0,0,1,0,2,1,1,3,0,1052.25
15,0,0,0,0,2,0,2,3,1,3,1,1013.25
16,0,1,0,2,1,0,0,2,1,2,0,1012.25
17,0,2,1,0,2,0,1,1,1,4,1,1217.0
18,0,0,1,0,2,0,2,2,1,4,1,1185.25
19,0,2,1,1,1,0,0,1,1,4,0,1059.75
20,0,1,0,1,1,0,2,2,1,5,1,1086.75
21,0,2,1,0,1,0,2,2,1,4,1,1175.25
22,0,2,0,1,1,0,0,2,2,3,1,811.75
23,0,1,0,2,1,0,2,1,1,3,1,1754.0
24,0,0,1,2,1,0,2,3,1,5,0,689.5
25,0,1,0,0,1,0,0,2,1,4,1,1018.25
26,0,1,1,1,1,1,2,3,2,5,1,1130.25
27,0,0,1,0,2,0,0,3,2,1,1,877.0
28,1,0,0,1,1,0,0,1,1,2,0,769.5
29,0,1,1,1,1,1,0,1,1,3,1,709.0
30,0,2,1,2,1,0,1,1,1,1,1,690.0
31,0,2,0,1,1,0,2,2,1,3,0,863.25
32,0,1,1,0,2,0,0,1,1,5,1,733.0
33,0,2,1,0,1,0,2,2,2,4,0,771.0
34,0,0,1,0,3,0,1,1,1,4,1,659.5
35,0,0,0,1,1,0,0,2,1,2,0,1258.0
36,0,2,0,2,1,0,2,2,1,4,1,875.25
37,0,0,1,1,2,0,1,2,2,2,1,675.75
38,0,0,1,1,1,0,1,2,1,4,0,1095.75
39,0,0,1,2,1,0,0,1,2,8,0,1285.0
40,0,0,1,0,1,1,1,2,1,3,1,1079.25
41,0,0,0,0,1,1,2,1,1,3,1,1119.75
42,0,0,0,2,1,0,1,3,1,3,1,172.0
43,0,1,1,1,1,0,1,1,1,4,0,834.75
44,0,0,0,2,2,0,1,3,1,3,1,1044.75
45,0,2,1,1,1,0,0,2,1,2,0,838.75
46,1,0,1,2,1,1,0,2,1,5,1,851.25
47,0,0,0,1,1,0,1,2,1,6,1,1040.25
48,0,0,0,0,1,1,2,2,1,3,0,987.0
49,0,0,1,1,1,0,0,1,2,3,0,822.0
50,0,2,0,1,2,1,2,1,1,5,1,650.5
51,1,0,1,0,1,0,2,2,1,2,1,931.75
52,0,1,0,1,1,0,1,1,1,3,1,988.0
53,0,2,0,1,1,0,1,1,1,4,0,1145.5
54,0,2,1,1,3,0,0,1,1,4,0,1162.5
55,0,0,1,1,1,0,2,2,2,3,1,954.25
56,0,2,1,2,1,0,1,4,2,5,1,1301.25
57,0,1,0,1,1,0,1,2,1,4,1,1148.75
58,1,0,1,0,1,0,1,1,1,2,1,1192.75
59,0,1,1,1,1,0,2,2,3,2,1,1195.5
60,0,0,1,1,1,0,2,2,1,3,1,1351.5
61,0,1,1,1,2,0,2,1,1,4,0,1062.25
62,0,1,0,1,1,0,2,2,1,2,1,1147.25
63,0,1,0,1,1,0,0,1,1,3,1,1308.5
64,0,1,1,1,2,0,2,2,1,2,0,363.0
65,0,1,0,1,1,0,0,1,2,4,1,929.5
66,0,1,1,0,1,0,0,2,1,2,0,718.0
67,0,1,0,2,1,0,2,1,1,3,1,1193.25
68,0,0,0,1,1,0,1,3,1,2,1,957.75
69,0,2,1,1,2,0,0,2,1,4,0,1050.0
70,0,2,1,1,2,0,2,2,1,5,1,1266.5
71,0,0,1,1,1,0,2,4,1,2,1,1124.75
72,0,0,0,2,3,0,2,2,2,1,0,1059.75
73,0,1,1,1,1,0,2,1,1,1,0,1014.25
74,0,0,0,0,1,0,2,1,1,3,1,891.25
75,1,1,1,2,1,0,0,2,2,5,1,1329.5
76,0,0,0,1,1,0,1,3,2,4,0,1023.5
77,1,1,1,1,1,0,0,1,1,5,1,908.5
78,0,1,0,2,1,0,0,1,1,3,1,731.5
79,0,2,1,0,1,0,1,2,1,2,0,793.5
80,0,1,1,1,2,0,0,1,1,3,1,1735.5
81,0,1,1,1,1,0,1,2,1,4,1,970.5
82,0,1,0,2,1,0,0,2,1,4,1,995.25
83,0,2,1,1,1,0,1,2,1,3,1,904.0
84,0,1,1,2,2,0,2,1,1,5,1,1128.5
85,0,0,1,1,3,0,1,2,1,3,1,1102.75
86,0,1,1,1,1,0,2,1,1,4,1,976.25
87,0,0,0,1,2,0,2,2,1,5,1,839.75
88,0,2,1,1,1,0,1,2,1,4,0,1293.0
89,0,1,1,1,2,0,2,2,1,5,1,819.5
90,0,0,1,1,2,0,0,2,2,3,1,1094.5
91,0,2,1,0,1,1,0,1,1,2,1,1247.25
92,0,0,0,1,1,0,2,3,1,3,1,167.0
93,0,1,0,1,1,0,2,3,1,2,1,1144.75
94,0,0,0,0,1,0,1,1,1,3,0,909.75
95,0,1,1,1,1,1,0,3,1,3,1,976.25
96,0,2,1,0,2,0,1,2,3,4,1,741.0
97,0,0,1,0,1,0,1,1,1,2,1,1343.75
98,1,2,0,0,2,0,0,3,1,3,1,1454.5
99,0,0,0,1,1,0,1,1,1,4,0,1791.25
100,0,2,0,0,2,1,1,1,1,3,1,1185.75
101,0,1,0,0,1,0,2,2,1,3,1,1210.75
102,1,2,1,2,1,1,0,1,1,9,0,161.5
103,0,1,0,0,1,1,2,1,1,2,1,1033.75
104,0,1,0,2,2,0,0,2,1,5,1,963.0
105,0,1,1,1,1,0,2,2,3,5,1,1025.75
106,0,2,0,0,1,0,2,1,1,5,1,1071.75
107,0,1,0,0,1,0,0,2,2,3,1,1039.5
108,0,0,1,1,1,0,0,3,1,3,1,979.25
109,0,2,1,2,1,0,2,2,1,1,1,905.5
110,0,1,0,2,1,1,1,2,1,5,1,924.0
111,0,1,1,0,1,0,0,1,1,2,1,1061.75
112,0,2,1,1,1,1,1,3,2,1,0,816.5
113,1,0,0,2,1,1,2,2,1,5,1,1082.5
